Raters,Set,Emotion,Stimulus,Accuracy,Shared
Online,Emoji,Angry,angry_emoji,0.93258427,0
Live,CAFE,Angry,angry_F-AA-01,0.62,0
Live,CAFE,Angry,angry_F-AA-02,0.81,1
Online,CAFE,Angry,angry_F-AA-02,0.5,1
Live,CAFE,Angry,angry_F-AA-03,0.89,0
Live,CAFE,Angry,angry_F-AA-05,0.27,0
Live,CAFE,Angry,angry_F-AA-06,0.63,0
Live,CAFE,Angry,angry_F-AA-07,0.33,0
Live,CAFE,Angry,angry_F-AA-08,0.31,0
Live,CAFE,Angry,angry_F-AA-09,0.78,1
Online,CAFE,Angry,angry_F-AA-09,0.571428571,1
Live,CAFE,Angry,angry_F-AA-10,0.47,0
Live,CAFE,Angry,angry_F-AA-11,0.83,0
Live,CAFE,Angry,angry_F-AA-12,0.08,0
Live,CAFE,Angry,angry_F-AA-13,0.88,0
Live,CAFE,Angry,angry_F-AA-14,0.53,1
Online,CAFE,Angry,angry_F-AA-14,0.555555556,1
Live,CAFE,Angry,angry_F-AA-15,0.3,0
Live,CAFE,Angry,angry_F-AA-16,0.66,0
Live,CAFE,Angry,angry_F-AS-01,0.4,0
Live,CAFE,Angry,angry_F-AS-02,0.12,0
Live,CAFE,Angry,angry_F-AS-03,0.72,0
Live,CAFE,Angry,angry_F-AS-04,0.12,0
Live,CAFE,Angry,angry_F-AS-05,0.84,0
Live,CAFE,Angry,angry_F-AS-07,0.91,1
Online,CAFE,Angry,angry_F-AS-07,1,1
Live,CAFE,Angry,angry_F-AS-08,0.74,0
Live,CAFE,Angry,angry_F-AS-09,0.35,0
Live,CAFE,Angry,angry_F-EA-01,0.94,1
Online,CAFE,Angry,angry_F-EA-01,0.909090909,1
Live,CAFE,Angry,angry_F-EA-02,0.87,0
Live,CAFE,Angry,angry_F-EA-03,0.91,1
Online,CAFE,Angry,angry_F-EA-03,1,1
Live,CAFE,Angry,angry_F-EA-04,0.84,0
Live,CAFE,Angry,angry_F-EA-07,0.86,0
Live,CAFE,Angry,angry_F-EA-08,0.29,0
Live,CAFE,Angry,angry_F-EA-10,0.76,0
Live,CAFE,Angry,angry_F-EA-12,0.85,0
Live,CAFE,Angry,angry_F-EA-13,0.9,1
Online,CAFE,Angry,angry_F-EA-13,1,1
Live,CAFE,Angry,angry_F-EA-15,0.31,0
Live,CAFE,Angry,angry_F-EA-16,0.7,0
Live,CAFE,Angry,angry_F-EA-17,0.23,0
Live,CAFE,Angry,angry_F-EA-18,0.89,0
Live,CAFE,Angry,angry_F-EA-19,0.4,0
Live,CAFE,Angry,angry_F-EA-21,0.89,0
Live,CAFE,Angry,angry_F-EA-22,0.87,0
Live,CAFE,Angry,angry_F-EA-23,0.4,0
Live,CAFE,Angry,angry_F-EA-24,0.86,0
Live,CAFE,Angry,angry_F-EA-25,0.8,1
Online,CAFE,Angry,angry_F-EA-25,0.888888889,1
Live,CAFE,Angry,angry_F-EA-26,0.87,0
Live,CAFE,Angry,angry_F-EA-27,0.65,0
Live,CAFE,Angry,angry_F-EA-28,0.9,1
Online,CAFE,Angry,angry_F-EA-28,0.6,1
Live,CAFE,Angry,angry_F-EA-29,0.81,1
Online,CAFE,Angry,angry_F-EA-29,0.857142857,1
Live,CAFE,Angry,angry_F-EA-30,0.43,0
Live,CAFE,Angry,angry_F-EA-31,0.7,0
Live,CAFE,Angry,angry_F-EA-32,0.87,0
Live,CAFE,Angry,angry_F-EA-33,0.86,0
Live,CAFE,Angry,angry_F-EA-34,0.19,0
Live,CAFE,Angry,angry_F-EA-36,0.62,0
Live,CAFE,Angry,angry_F-EA-38,0.41,0
Live,CAFE,Angry,angry_F-EA-39,0.61,0
Live,CAFE,Angry,angry_F-EA-41,0.92,1
Online,CAFE,Angry,angry_F-EA-41,0.666666667,1
Live,CAFE,Angry,angry_F-LA-01,0.53,1
Online,CAFE,Angry,angry_F-LA-01,0.6875,1
Live,CAFE,Angry,angry_F-LA-02,0.78,1
Online,CAFE,Angry,angry_F-LA-02,0.2,1
Live,CAFE,Angry,angry_F-LA-03,0.87,0
Live,CAFE,Angry,angry_F-LA-04,0.72,0
Live,CAFE,Angry,angry_F-LA-05,0.64,0
Live,CAFE,Angry,angry_F-LA-12,0.77,0
Live,CAFE,Angry,angry_F-LA-13,0.53,1
Online,CAFE,Angry,angry_F-LA-13,0.555555556,1
Live,CAFE,Angry,angry_F-PI-01,0.87,0
Live,CAFE,Angry,angry_F-SA-01,0.91,1
Online,CAFE,Angry,angry_F-SA-01,0.8125,1
Live,CAFE,Angry,angry_F-SA-02,0.25,0
Live,CAFE,Angry,angry_F-SA-03,0.5,1
Online,CAFE,Angry,angry_F-SA-03,0.571428571,1
Live,CAFE,Angry,angry_F-SA-04,0.77,0
Live,CAFE,Angry,angry_F-SA-05,0.91,1
Online,CAFE,Angry,angry_F-SA-05,0.888888889,1
Live,CAFE,Angry,angry_F-SA-06,0.21,0
Live,CAFE,Angry,angry_F-SA-07,0.03,0
Live,CAFE,Angry,angry_F-SA-08,0.76,0
Live,CAFE,Angry,angry_F-SA-09,0.17,0
Live,CAFE,Angry,angry_F-SA-10,0.69,0
Live,CAFE,Angry,angry_M-AA-01,0.76,0
Live,CAFE,Angry,angry_M-AA-03,0.25,0
Live,CAFE,Angry,angry_M-AA-04,0.83,0
Live,CAFE,Angry,angry_M-AA-05,0.81,1
Online,CAFE,Angry,angry_M-AA-05,1,1
Live,CAFE,Angry,angry_M-AA-06,0.59,1
Online,CAFE,Angry,angry_M-AA-06,0.666666667,1
Live,CAFE,Angry,angry_M-AA-07,0.88,0
Live,CAFE,Angry,angry_M-AA-08,0.93,1
Online,CAFE,Angry,angry_M-AA-08,1,1
Live,CAFE,Angry,angry_M-AA-09,0.88,0
Live,CAFE,Angry,angry_M-AA-11,0.29,0
Live,CAFE,Angry,angry_M-AS-01,0.3,0
Live,CAFE,Angry,angry_M-AS-02,0.82,0
Live,CAFE,Angry,angry_M-AS-04,0.7,0
Live,CAFE,Angry,angry_M-AS-06,0.47,0
Live,CAFE,Angry,angry_M-AS-07,0.36,0
Live,CAFE,Angry,angry_M-EA-02,0.92,1
Online,CAFE,Angry,angry_M-EA-02,0.833333333,1
Live,CAFE,Angry,angry_M-EA-04,0.74,0
Live,CAFE,Angry,angry_M-EA-05,0.66,0
Live,CAFE,Angry,angry_M-EA-06,0.93,1
Online,CAFE,Angry,angry_M-EA-06,0.857142857,1
Live,CAFE,Angry,angry_M-EA-06b-2,0.61,0
Live,CAFE,Angry,angry_M-EA-07,0.81,1
Online,CAFE,Angry,angry_M-EA-07,0.909090909,1
Live,CAFE,Angry,angry_M-EA-08,0.95,1
Online,CAFE,Angry,angry_M-EA-08,1,1
Live,CAFE,Angry,angry_M-EA-09,0.92,1
Online,CAFE,Angry,angry_M-EA-09,0.666666667,1
Live,CAFE,Angry,angry_M-EA-10,0.73,0
Live,CAFE,Angry,angry_M-EA-11,0.86,0
Live,CAFE,Angry,angry_M-EA-12,0.63,0
Live,CAFE,Angry,angry_M-EA-13,0.86,0
Live,CAFE,Angry,angry_M-EA-14,0.41,0
Live,CAFE,Angry,angry_M-EA-18,0.8,1
Online,CAFE,Angry,angry_M-EA-18,0.6875,1
Live,CAFE,Angry,angry_M-EA-19,0.35,0
Live,CAFE,Angry,angry_M-EA-20,0.24,0
Live,CAFE,Angry,angry_M-EA-21,0.65,0
Live,CAFE,Angry,angry_M-EA-23,0.66,0
Live,CAFE,Angry,angry_M-EA-25,0.84,0
Live,CAFE,Angry,angry_M-EA-26,0.9,1
Online,CAFE,Angry,angry_M-EA-26,0.714285714,1
Live,CAFE,Angry,angry_M-EA-27,0.77,0
Live,CAFE,Angry,angry_M-EA-29,0.14,0
Live,CAFE,Angry,angry_M-EA-30,0.76,0
Live,CAFE,Angry,angry_M-EA-34,0.86,0
Live,CAFE,Angry,angry_M-EA-35,0.84,0
Live,CAFE,Angry,angry_M-EA-37,0.8,1
Online,CAFE,Angry,angry_M-EA-37,0.777777778,1
Live,CAFE,Angry,angry_M-EA-38,0.92,1
Online,CAFE,Angry,angry_M-EA-38,0.666666667,1
Live,CAFE,Angry,angry_M-LA-02,0.88,0
Live,CAFE,Angry,angry_M-LA-03,0.85,0
Live,CAFE,Angry,angry_M-LA-04,0.43,0
Live,CAFE,Angry,angry_M-LA-06,0.48,1
Online,CAFE,Angry,angry_M-LA-06,0.5,1
Live,CAFE,Angry,angry_M-LA-08,0.82,0
Live,CAFE,Angry,angry_M-LA-09,0.81,1
Online,CAFE,Angry,angry_M-LA-09,0.666666667,1
Live,CAFE,Angry,angry_M-LA-10,0.79,1
Online,CAFE,Angry,angry_M-LA-10,0.571428571,1
Online,Google,Angry,angry10,0.5,0
Online,Google,Angry,angry100,0.818181818,0
Online,Google,Angry,angry11,1,0
Online,Google,Angry,angry12,0.833333333,0
Online,Google,Angry,angry13,0.777777778,0
Online,Google,Angry,angry14,0.5,0
Online,Google,Angry,angry15,1,0
Online,Google,Angry,angry16,0.8,0
Online,Google,Angry,angry17,0.909090909,0
Online,Google,Angry,angry18,1,0
Online,Google,Angry,angry19,0.5,0
Online,Google,Angry,angry20,0.666666667,0
Online,Google,Angry,angry21,0.909090909,0
Online,Google,Angry,angry23,0.8,0
Online,Google,Angry,angry24,0.222222222,0
Online,Google,Angry,angry25,0.818181818,0
Online,Google,Angry,angry26,0.75,0
Online,Google,Angry,angry27,0.714285714,0
Online,Google,Angry,angry28,0.857142857,0
Online,Google,Angry,angry29,0.285714286,0
Online,Google,Angry,angry3,0.333333333,0
Online,Google,Angry,angry30,0.9,0
Online,Google,Angry,angry31,1,0
Online,Google,Angry,angry33,0.6875,0
Online,Google,Angry,angry34,0.555555556,0
Online,Google,Angry,angry35,0.5,0
Online,Google,Angry,angry36,0.857142857,0
Online,Google,Angry,angry37,0.888888889,0
Online,Google,Angry,angry38,0.857142857,0
Online,Google,Angry,angry39,1,0
Online,Google,Angry,angry4,0.818181818,0
Online,Google,Angry,angry41,1,0
Online,Google,Angry,angry42,0.888888889,0
Online,Google,Angry,angry43,0.8,0
Online,Google,Angry,angry44,0.6875,0
Online,Google,Angry,angry45,0.8125,0
Online,Google,Angry,angry46,0.666666667,0
Online,Google,Angry,angry47,0.714285714,0
Online,Google,Angry,angry48,1,0
Online,Google,Angry,angry49,0.9,0
Online,Google,Angry,angry5,0.777777778,0
Online,Google,Angry,angry50,0.875,0
Online,Google,Angry,angry51,0.666666667,0
Online,Google,Angry,angry52,0.166666667,0
Online,Google,Angry,angry53,0.333333333,0
Online,Google,Angry,angry54,0.714285714,0
Online,Google,Angry,angry55,1,0
Online,Google,Angry,angry56,0.4375,0
Online,Google,Angry,angry57,0.714285714,0
Online,Google,Angry,angry59,1,0
Online,Google,Angry,angry6,1,0
Online,Google,Angry,angry60,0.714285714,0
Online,Google,Angry,angry61,0.888888889,0
Online,Google,Angry,angry62,0.25,0
Online,Google,Angry,angry63,0,0
Online,Google,Angry,angry64,0.222222222,0
Online,Google,Angry,angry65,0.666666667,0
Online,Google,Angry,angry66,0.142857143,0
Online,Google,Angry,angry67,0.375,0
Online,Google,Angry,angry68,0.857142857,0
Online,Google,Angry,angry69,1,0
Online,Google,Angry,angry7,0.833333333,0
Online,Google,Angry,angry72,0.75,0
Online,Google,Angry,angry74,0.4375,0
Online,Google,Angry,angry75,0.888888889,0
Online,Google,Angry,angry77,1,0
Online,Google,Angry,angry78,0.666666667,0
Online,Google,Angry,angry79,0.714285714,0
Online,Google,Angry,angry8,0.625,0
Online,Google,Angry,angry80,0.6,0
Online,Google,Angry,angry82,0.571428571,0
Online,Google,Angry,angry84,0.285714286,0
Online,Google,Angry,angry85,0.454545455,0
Online,Google,Angry,angry86,0.833333333,0
Online,Google,Angry,angry87,1,0
Online,Google,Angry,angry88,1,0
Online,Google,Angry,angry89,1,0
Online,Google,Angry,angry9,0.6875,0
Online,Google,Angry,angry90,1,0
Online,Google,Angry,angry93,0.625,0
Online,Google,Angry,angry94,1,0
Online,Google,Angry,angry95,0.375,0
Online,Google,Angry,angry96,0.909090909,0
Online,Google,Angry,angry97,0.857142857,0
Online,Google,Angry,angry98,0.272727273,0
Online,Google,Angry,angry99,0.875,0
Live,CAFE,Angry,angryopen_F-AA-01,0.68,0
Live,CAFE,Angry,angryopen_F-AA-02,0.8,1
Online,CAFE,Angry,angryopen_F-AA-02,0.875,1
Live,CAFE,Angry,angryopen_F-AA-03,0.16,0
Live,CAFE,Angry,angryopen_F-AA-06,0.65,0
Live,CAFE,Angry,angryopen_F-AA-08,0.43,0
Live,CAFE,Angry,angryopen_F-AA-09,0.85,0
Live,CAFE,Angry,angryopen_F-AA-11,0.9,1
Online,CAFE,Angry,angryopen_F-AA-11,0.5,1
Live,CAFE,Angry,angryopen_F-AA-12,0.55,1
Online,CAFE,Angry,angryopen_F-AA-12,0.333333333,1
Live,CAFE,Angry,angryopen_F-AA-13,0.69,0
Live,CAFE,Angry,angryopen_F-AA-14,0.24,0
Live,CAFE,Angry,angryopen_F-AA-15,0.29,0
Live,CAFE,Angry,angryopen_F-AA-16,0.87,0
Live,CAFE,Angry,angryopen_F-AS-03,0.78,1
Online,CAFE,Angry,angryopen_F-AS-03,0.6,1
Live,CAFE,Angry,angryopen_F-AS-04,0.43,0
Live,CAFE,Angry,angryopen_F-AS-05,0.88,0
Live,CAFE,Angry,angryopen_F-AS-07,0.86,0
Live,CAFE,Angry,angryopen_F-AS-08,0.13,0
Live,CAFE,Angry,angryopen_F-AS-09,0.43,0
Live,CAFE,Angry,angryopen_F-EA-03,0.91,1
Online,CAFE,Angry,angryopen_F-EA-03,0.875,1
Live,CAFE,Angry,angryopen_F-EA-07,0.91,1
Online,CAFE,Angry,angryopen_F-EA-07,0.875,1
Live,CAFE,Angry,angryopen_F-EA-13,0.8,1
Online,CAFE,Angry,angryopen_F-EA-13,0.875,1
Live,CAFE,Angry,angryopen_F-EA-14,0.66,0
Live,CAFE,Angry,angryopen_F-EA-16,0.89,0
Live,CAFE,Angry,angryopen_F-EA-18,0.25,0
Live,CAFE,Angry,angryopen_F-EA-19b,0.34,0
Live,CAFE,Angry,angryopen_F-EA-21,0.5,1
Online,CAFE,Angry,angryopen_F-EA-21,0.4,1
Live,CAFE,Angry,angryopen_F-EA-22,0.83,0
Live,CAFE,Angry,angryopen_F-EA-23,0.73,0
Live,CAFE,Angry,angryopen_F-EA-24,0.86,0
Live,CAFE,Angry,angryopen_F-EA-26,0.91,1
Online,CAFE,Angry,angryopen_F-EA-26,1,1
Live,CAFE,Angry,angryopen_F-EA-28,0.74,0
Live,CAFE,Angry,angryopen_F-EA-31,0.76,0
Live,CAFE,Angry,angryopen_F-EA-32,0.84,0
Live,CAFE,Angry,angryopen_F-EA-33,0.52,1
Online,CAFE,Angry,angryopen_F-EA-33,0.625,1
Live,CAFE,Angry,angryopen_F-EA-34,0.73,0
Live,CAFE,Angry,angryopen_F-EA-36,0.85,0
Live,CAFE,Angry,angryopen_F-EA-38,0.23,0
Live,CAFE,Angry,angryopen_F-EA-39,0.31,0
Live,CAFE,Angry,angryopen_F-EA-41,0.88,0
Live,CAFE,Angry,angryopen_F-EA-42,0.54,1
Online,CAFE,Angry,angryopen_F-EA-42,0.625,1
Live,CAFE,Angry,angryopen_F-LA-01,0.52,1
Online,CAFE,Angry,angryopen_F-LA-01,0.428571429,1
Live,CAFE,Angry,angryopen_F-LA-02,0.6,1
Online,CAFE,Angry,angryopen_F-LA-02,0.571428571,1
Live,CAFE,Angry,angryopen_F-LA-03,0.88,0
Live,CAFE,Angry,angryopen_F-LA-04,0.75,0
Live,CAFE,Angry,angryopen_F-LA-05,0.77,0
Live,CAFE,Angry,angryopen_F-LA-10,0.69,0
Live,CAFE,Angry,angryopen_F-LA-12,0.65,0
Live,CAFE,Angry,angryopen_F-LA-13,0.37,0
Live,CAFE,Angry,angryopen_F-PI-01,0.85,0
Live,CAFE,Angry,angryopen_F-SA-01,0.82,0
Live,CAFE,Angry,angryopen_F-SA-02,0.44,0
Live,CAFE,Angry,angryopen_F-SA-03,0.44,0
Live,CAFE,Angry,angryopen_F-SA-04,0.89,0
Live,CAFE,Angry,angryopen_F-SA-05,0.65,0
Live,CAFE,Angry,angryopen_F-SA-08,0.61,1
Online,CAFE,Angry,angryopen_F-SA-08,0.454545455,1
Live,CAFE,Angry,angryopen_F-SA-10,0.59,1
Online,CAFE,Angry,angryopen_F-SA-10,0.333333333,1
Live,CAFE,Angry,angryopen_M-AA-02,0.54,1
Online,CAFE,Angry,angryopen_M-AA-02,0.666666667,1
Live,CAFE,Angry,angryopen_M-AA-03,0.47,0
Live,CAFE,Angry,angryopen_M-AA-04,0.81,1
Online,CAFE,Angry,angryopen_M-AA-04,0.833333333,1
Live,CAFE,Angry,angryopen_M-AA-05,0.74,0
Live,CAFE,Angry,angryopen_M-AA-08,0.77,0
Live,CAFE,Angry,angryopen_M-AA-09,0.43,0
Live,CAFE,Angry,angryopen_M-AS-02,0.84,0
Live,CAFE,Angry,angryopen_M-AS-06,0.81,1
Online,CAFE,Angry,angryopen_M-AS-06,0.909090909,1
Live,CAFE,Angry,angryopen_M-EA-06b,0.8,1
Online,CAFE,Angry,angryopen_M-EA-06b,0.666666667,1
Live,CAFE,Angry,angryopen_M-EA-08,0.71,0
Live,CAFE,Angry,angryopen_M-EA-09,0.91,1
Online,CAFE,Angry,angryopen_M-EA-09,0.8125,1
Live,CAFE,Angry,angryopen_M-EA-10,0.52,1
Online,CAFE,Angry,angryopen_M-EA-10,0.375,1
Live,CAFE,Angry,angryopen_M-EA-11,0.66,0
Live,CAFE,Angry,angryopen_M-EA-21,0.81,1
Online,CAFE,Angry,angryopen_M-EA-21,0.666666667,1
Live,CAFE,Angry,angryopen_M-EA-24,0.83,0
Live,CAFE,Angry,angryopen_M-EA-25,0.85,0
Live,CAFE,Angry,angryopen_M-EA-27,0.8,1
Online,CAFE,Angry,angryopen_M-EA-27,0.777777778,1
Live,CAFE,Angry,angryopen_M-EA-30,0.8,1
Online,CAFE,Angry,angryopen_M-EA-30,0.75,1
Live,CAFE,Angry,angryopen_M-EA-34,0.62,0
Live,CAFE,Angry,angryopen_M-EA-35,0.6,1
Online,CAFE,Angry,angryopen_M-EA-35,0.5,1
Live,CAFE,Angry,angryopen_M-EA-37,0.55,1
Online,CAFE,Angry,angryopen_M-EA-37,0.333333333,1
Live,CAFE,Angry,angryopen_M-EA-38,0.83,0
Live,CAFE,Angry,angryopen_M-LA-02,0.73,0
Live,CAFE,Angry,angryopen_M-LA-03,0.87,0
Live,CAFE,Angry,angryopen_M-LA-04,0.23,0
Live,CAFE,Angry,angryopen_M-LA-08,0.6,1
Online,CAFE,Angry,angryopen_M-LA-08,0.428571429,1
Live,CAFE,Angry,angryopen_M-LA-09,0.72,0
Live,CAFE,Angry,angryopen_M-LA-10,0.7,0
Online,Google,Neutral,calm1,0.666666667,0
Online,Google,Neutral,calm10,0.727272727,0
Online,Google,Neutral,calm15,0.142857143,0
Online,Google,Neutral,calm16,0.857142857,0
Online,Google,Neutral,calm2,1,0
Online,Google,Neutral,calm29,0.875,0
Online,Google,Neutral,calm3,0.333333333,0
Online,Google,Neutral,calm30,0.5625,0
Online,Google,Neutral,calm31,0.818181818,0
Online,Google,Neutral,calm32,0.818181818,0
Online,Google,Neutral,calm33,0.571428571,0
Online,Google,Neutral,calm34,0.285714286,0
Online,Google,Neutral,calm36,1,0
Online,Google,Neutral,calm37,0.1875,0
Online,Google,Neutral,calm38,0.8,0
Online,Google,Neutral,calm4,0.545454545,0
Online,Google,Neutral,calm5,0.4,0
Online,Google,Neutral,calm55,0.666666667,0
Online,Google,Neutral,calm56,0.75,0
Online,Google,Neutral,calm60,1,0
Online,Google,Neutral,calm61,0.714285714,0
Online,Google,Neutral,calm63,0.8125,0
Online,Google,Neutral,calm65,0.777777778,0
Online,Google,Neutral,calm66,0.857142857,0
Online,Google,Neutral,calm67,0.666666667,0
Online,Google,Neutral,calm68,0.444444444,0
Online,Google,Neutral,calm69,0.333333333,0
Online,Google,Neutral,calm70,1,0
Online,Google,Neutral,calm8,0.666666667,0
Online,Emoji,Disgust,disgust_emoji,0.426966292,0
Live,CAFE,Disgust,disgust_F-AA-01,0.86,1
Online,CAFE,Disgust,disgust_F-AA-01,0.714285714,1
Live,CAFE,Disgust,disgust_F-AA-02,0.43,0
Live,CAFE,Disgust,disgust_F-AA-03,0.41,0
Live,CAFE,Disgust,disgust_F-AA-04,0.61,0
Live,CAFE,Disgust,disgust_F-AA-07,0.48,0
Live,CAFE,Disgust,disgust_F-AA-08,0.47,0
Live,CAFE,Disgust,disgust_F-AA-09,0.71,1
Online,CAFE,Disgust,disgust_F-AA-09,0.6,1
Live,CAFE,Disgust,disgust_F-AA-10,0.68,0
Live,CAFE,Disgust,disgust_F-AA-10-2,0.46,0
Live,CAFE,Disgust,disgust_F-AA-11,0.32,0
Live,CAFE,Disgust,disgust_F-AA-12,0.61,0
Live,CAFE,Disgust,disgust_F-AA-14,0.74,1
Online,CAFE,Disgust,disgust_F-AA-14,0.636363636,1
Live,CAFE,Disgust,disgust_F-AA-15,0.86,1
Online,CAFE,Disgust,disgust_F-AA-15,0.6,1
Live,CAFE,Disgust,disgust_F-AA-16,0.68,0
Live,CAFE,Disgust,disgust_F-AS-01,0.44,0
Live,CAFE,Disgust,disgust_F-AS-02,0.84,1
Online,CAFE,Disgust,disgust_F-AS-02,0.5,1
Live,CAFE,Disgust,disgust_F-AS-03,0.92,1
Online,CAFE,Disgust,disgust_F-AS-03,0.833333333,1
Live,CAFE,Disgust,disgust_F-AS-05,0.64,0
Live,CAFE,Disgust,disgust_F-AS-07,0.8,0
Live,CAFE,Disgust,disgust_F-AS-08,0.64,0
Live,CAFE,Disgust,disgust_F-AS-09,0.52,1
Online,CAFE,Disgust,disgust_F-AS-09,0.4,1
Live,CAFE,Disgust,disgust_F-EA-01,0.3,0
Live,CAFE,Disgust,disgust_F-EA-02,0.3,0
Live,CAFE,Disgust,disgust_F-EA-03,0.28,0
Live,CAFE,Disgust,disgust_F-EA-14,0.55,1
Online,CAFE,Disgust,disgust_F-EA-14,0.888888889,1
Live,CAFE,Disgust,disgust_F-EA-15,0.8,0
Live,CAFE,Disgust,disgust_F-EA-16,0.31,0
Live,CAFE,Disgust,disgust_F-EA-20,0.54,1
Online,CAFE,Disgust,disgust_F-EA-20,0.25,1
Live,CAFE,Disgust,disgust_F-EA-22,0.72,1
Online,CAFE,Disgust,disgust_F-EA-22,0.444444444,1
Live,CAFE,Disgust,disgust_F-EA-23,0.63,0
Live,CAFE,Disgust,disgust_F-EA-24,0.69,0
Live,CAFE,Disgust,disgust_F-EA-25,0.92,1
Online,CAFE,Disgust,disgust_F-EA-25,1,1
Live,CAFE,Disgust,disgust_F-EA-28,0.73,1
Online,CAFE,Disgust,disgust_F-EA-28,0.5,1
Live,CAFE,Disgust,disgust_F-EA-29,0.4,0
Live,CAFE,Disgust,disgust_F-EA-30,0.39,0
Live,CAFE,Disgust,disgust_F-EA-31,0.51,0
Live,CAFE,Disgust,disgust_F-EA-33,0.68,0
Live,CAFE,Disgust,disgust_F-EA-34,0.5,0
Live,CAFE,Disgust,disgust_F-EA-36,0.6,0
Live,CAFE,Disgust,disgust_F-EA-37,0.88,1
Online,CAFE,Disgust,disgust_F-EA-37,0.888888889,1
