Raters,Set,Emotion,Stimulus,Accuracy,Shared
Live,CAFE,Disgust,disgust_F-EA-39,0.66,0
Live,CAFE,Disgust,disgust_F-EA-40,0.86,1
Online,CAFE,Disgust,disgust_F-EA-40,0.714285714,1
Live,CAFE,Disgust,disgust_F-EA-42,0.26,0
Live,CAFE,Disgust,disgust_F-LA-01,0.86,1
Online,CAFE,Disgust,disgust_F-LA-01,0.5,1
Live,CAFE,Disgust,disgust_F-LA-02,0.62,0
Live,CAFE,Disgust,disgust_F-LA-03,0.56,1
Online,CAFE,Disgust,disgust_F-LA-03,0.375,1
Live,CAFE,Disgust,disgust_F-LA-04,0.49,0
Live,CAFE,Disgust,disgust_F-LA-05,0.47,0
Live,CAFE,Disgust,disgust_F-LA-10,0.68,0
Live,CAFE,Disgust,disgust_F-LA-11,0.53,1
Online,CAFE,Disgust,disgust_F-LA-11,0.571428571,1
Live,CAFE,Disgust,disgust_F-LA-12,0.28,0
Live,CAFE,Disgust,disgust_F-LA-13,0.82,0
Live,CAFE,Disgust,disgust_F-PI-01,0.44,0
Live,CAFE,Disgust,disgust_F-SA-02,0.76,0
Live,CAFE,Disgust,disgust_F-SA-03,0.57,1
Online,CAFE,Disgust,disgust_F-SA-03,0.777777778,1
Live,CAFE,Disgust,disgust_F-SA-04,0.35,0
Live,CAFE,Disgust,disgust_F-SA-05,0.59,1
Online,CAFE,Disgust,disgust_F-SA-05,0.666666667,1
Live,CAFE,Disgust,disgust_F-SA-06,0.54,1
Online,CAFE,Disgust,disgust_F-SA-06,0.857142857,1
Live,CAFE,Disgust,disgust_F-SA-07,0.33,0
Live,CAFE,Disgust,disgust_F-SA-08,0.73,1
Online,CAFE,Disgust,disgust_F-SA-08,0.833333333,1
Live,CAFE,Disgust,disgust_F-SA-09,0.11,0
Live,CAFE,Disgust,disgust_F-SA-10,0.55,1
Online,CAFE,Disgust,disgust_F-SA-10,0.555555556,1
Live,CAFE,Disgust,disgust_M-AA-03,0.63,0
Live,CAFE,Disgust,disgust_M-AA-04,0.23,0
Live,CAFE,Disgust,disgust_M-AA-05,0.72,1
Online,CAFE,Disgust,disgust_M-AA-05,0.5,1
Live,CAFE,Disgust,disgust_M-AA-07,0.52,1
Online,CAFE,Disgust,disgust_M-AA-07,0.4,1
Live,CAFE,Disgust,disgust_M-AA-08,0.26,0
Live,CAFE,Disgust,disgust_M-AA-09,0.25,0
Live,CAFE,Disgust,disgust_M-AA-10,0.31,0
Live,CAFE,Disgust,disgust_M-AA-11,0.73,1
Online,CAFE,Disgust,disgust_M-AA-11,0.857142857,1
Live,CAFE,Disgust,disgust_M-AA-11-2,0.84,0
Live,CAFE,Disgust,disgust_M-AS-01,0.68,0
Live,CAFE,Disgust,disgust_M-AS-03,0.71,0
Live,CAFE,Disgust,disgust_M-AS-05,0.39,0
Live,CAFE,Disgust,disgust_M-AS-06,0.7,0
Live,CAFE,Disgust,disgust_M-EA-02,0.72,1
Online,CAFE,Disgust,disgust_M-EA-02,0.857142857,1
Live,CAFE,Disgust,disgust_M-EA-04,0.14,0
Live,CAFE,Disgust,disgust_M-EA-06,0.51,0
Live,CAFE,Disgust,disgust_M-EA-09,0.72,1
Online,CAFE,Disgust,disgust_M-EA-09,0.666666667,1
Live,CAFE,Disgust,disgust_M-EA-10,0.21,0
Live,CAFE,Disgust,disgust_M-EA-11,0.25,0
Live,CAFE,Disgust,disgust_M-EA-12,0.3,0
Live,CAFE,Disgust,disgust_M-EA-21,0.6,0
Live,CAFE,Disgust,disgust_M-EA-25,0.73,1
Online,CAFE,Disgust,disgust_M-EA-25,0.428571429,1
Live,CAFE,Disgust,disgust_M-EA-26,0.33,0
Live,CAFE,Disgust,disgust_M-EA-30,0.59,1
Online,CAFE,Disgust,disgust_M-EA-30,0.714285714,1
Live,CAFE,Disgust,disgust_M-EA-34,0.59,1
Online,CAFE,Disgust,disgust_M-EA-34,0.428571429,1
Live,CAFE,Disgust,disgust_M-EA-35,0.41,0
Live,CAFE,Disgust,disgust_M-EA-36,0.37,0
Live,CAFE,Disgust,disgust_M-EA-38,0.3,0
Live,CAFE,Disgust,disgust_M-LA-02,0.55,1
Online,CAFE,Disgust,disgust_M-LA-02,0.4375,1
Live,CAFE,Disgust,disgust_M-LA-03,0.47,0
Live,CAFE,Disgust,disgust_M-LA-07,0.36,0
Live,CAFE,Disgust,disgust_M-LA-08,0.6,1
Online,CAFE,Disgust,disgust_M-LA-08,0.545454545,1
Live,CAFE,Disgust,disgust_M-LA-09,0.34,0
Live,CAFE,Disgust,disgust_M-LA-10,0.23,0
Online,Google,Disgust,disgust1,1,0
Online,Google,Disgust,disgust12,0.833333333,0
Online,Google,Disgust,disgust13,0,0
Online,Google,Disgust,disgust15,0.3,0
Online,Google,Disgust,disgust16,0.333333333,0
Online,Google,Disgust,disgust17,0.181818182,0
Online,Google,Disgust,disgust18,0.3,0
Online,Google,Disgust,disgust19,0.3,0
Online,Google,Disgust,disgust2,0.666666667,0
Online,Google,Disgust,disgust20,0.75,0
Online,Google,Disgust,disgust21,0,0
Online,Google,Disgust,disgust23,0.833333333,0
Online,Google,Disgust,disgust27,0.714285714,0
Online,Google,Disgust,disgust28,0.875,0
Online,Google,Disgust,disgust29,0.5,0
Online,Google,Disgust,disgust30,0.5625,0
Online,Google,Disgust,disgust31,0.666666667,0
Online,Google,Disgust,disgust32,0.666666667,0
Online,Google,Disgust,disgust33,1,0
Online,Google,Disgust,disgust34,0.625,0
Online,Google,Disgust,disgust35,0.285714286,0
Online,Google,Disgust,disgust37,0.571428571,0
Online,Google,Disgust,disgust39,0.333333333,0
Online,Google,Disgust,disgust4,0.777777778,0
Online,Google,Disgust,disgust40,0.5,0
Online,Google,Disgust,disgust41,0.545454545,0
Online,Google,Disgust,disgust42,0.428571429,0
Online,Google,Disgust,disgust43,0.454545455,0
Online,Google,Disgust,disgust44,0.222222222,0
Online,Google,Disgust,disgust45,0.625,0
Online,Google,Disgust,disgust46,0.5,0
Online,Google,Disgust,disgust47,0.090909091,0
Online,Google,Disgust,disgust48,0.5,0
Online,Google,Disgust,disgust5,0.375,0
Online,Google,Disgust,disgust6,1,0
Online,Google,Disgust,disgust8,0.714285714,0
Online,Google,Disgust,disgust9,0.5625,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-01,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-02,0.65,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-03,0.77,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-06,0.5,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-08,0.72,1
Online,CAFE,Disgust,disgustwithtongue_F-AA-08,0.777777778,1
Live,CAFE,Disgust,disgustwithtongue_F-AA-09,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-10,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-11,0.74,0
Live,CAFE,Disgust,disgustwithtongue_F-AA-12,0.89,1
Online,CAFE,Disgust,disgustwithtongue_F-AA-12,0.666666667,1
Live,CAFE,Disgust,disgustwithtongue_F-AA-14,0.57,1
Online,CAFE,Disgust,disgustwithtongue_F-AA-14,0.555555556,1
Live,CAFE,Disgust,disgustwithtongue_F-AA-15,0.91,1
Online,CAFE,Disgust,disgustwithtongue_F-AA-15,0.666666667,1
Live,CAFE,Disgust,disgustwithtongue_F-AA-16,0.82,0
Live,CAFE,Disgust,disgustwithtongue_F-AS-01,0.51,0
Live,CAFE,Disgust,disgustwithtongue_F-AS-02,0.73,1
Online,CAFE,Disgust,disgustwithtongue_F-AS-02,0.666666667,1
Live,CAFE,Disgust,disgustwithtongue_F-AS-03,0.86,1
Online,CAFE,Disgust,disgustwithtongue_F-AS-03,0.625,1
Live,CAFE,Disgust,disgustwithtongue_F-AS-04,0.9,1
Online,CAFE,Disgust,disgustwithtongue_F-AS-04,1,1
Live,CAFE,Disgust,disgustwithtongue_F-AS-05,0.69,0
Live,CAFE,Disgust,disgustwithtongue_F-AS-06,0.42,0
Live,CAFE,Disgust,disgustwithtongue_F-AS-07,0.94,1
Online,CAFE,Disgust,disgustwithtongue_F-AS-07,0.909090909,1
Live,CAFE,Disgust,disgustwithtongue_F-AS-08,0.7,0
Live,CAFE,Disgust,disgustwithtongue_F-AS-09,0.72,1
Online,CAFE,Disgust,disgustwithtongue_F-AS-09,0.625,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-03,0.59,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-03,0.545454545,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-04,0.64,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-07,0.58,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-07,1,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-09,0.71,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-14,0.79,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-15,0.72,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-15,0.714285714,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-17,0.73,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-17,0.666666667,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-18,0.81,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-22,0.79,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-23,0.81,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-24,0.83,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-25,0.92,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-25,1,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-26,0.76,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-27,0.8,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-28,0.75,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-30,0.76,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-31,0.72,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-31,0.5,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-32,0.64,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-33,0.68,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-36,0.83,0
Live,CAFE,Disgust,disgustwithtongue_F-EA-39,0.59,1
Online,CAFE,Disgust,disgustwithtongue_F-EA-39,0.5,1
Live,CAFE,Disgust,disgustwithtongue_F-EA-41,0.68,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-02,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-03,0.82,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-05,0.68,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-10,0.69,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-12,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-LA-13,0.78,0
Live,CAFE,Disgust,disgustwithtongue_F-PI-01,0.71,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-02,0.84,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-03,0.86,1
Online,CAFE,Disgust,disgustwithtongue_F-SA-03,0.888888889,1
Live,CAFE,Disgust,disgustwithtongue_F-SA-04,0.66,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-05,0.74,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-06,0.76,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-07,0.74,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-08,0.7,0
Live,CAFE,Disgust,disgustwithtongue_F-SA-09,0.54,1
Online,CAFE,Disgust,disgustwithtongue_F-SA-09,0.375,1
Live,CAFE,Disgust,disgustwithtongue_F-SA-10,0.74,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-03,0.67,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-05,0.77,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-06,0.73,1
Online,CAFE,Disgust,disgustwithtongue_M-AA-06,0.636363636,1
Live,CAFE,Disgust,disgustwithtongue_M-AA-07,0.63,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-09,0.66,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-10,0.78,0
Live,CAFE,Disgust,disgustwithtongue_M-AA-11,0.69,0
Live,CAFE,Disgust,disgustwithtongue_M-AS-01,0.63,0
Live,CAFE,Disgust,disgustwithtongue_M-AS-02,0.69,0
Live,CAFE,Disgust,disgustwithtongue_M-AS-03,0.61,0
Live,CAFE,Disgust,disgustwithtongue_M-AS-06,0.72,1
Online,CAFE,Disgust,disgustwithtongue_M-AS-06,0.5,1
Live,CAFE,Disgust,disgustwithtongue_M-EA-02,0.8,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-04,0.72,1
Online,CAFE,Disgust,disgustwithtongue_M-EA-04,0.3,1
Live,CAFE,Disgust,disgustwithtongue_M-EA-05,0.71,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-06b,0.7,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-08,0.5,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-10,0.78,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-12,0.86,1
Online,CAFE,Disgust,disgustwithtongue_M-EA-12,0.8125,1
Live,CAFE,Disgust,disgustwithtongue_M-EA-14,0.86,1
Online,CAFE,Disgust,disgustwithtongue_M-EA-14,0.888888889,1
Live,CAFE,Disgust,disgustwithtongue_M-EA-20,0.74,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-22,0.76,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-24,0.77,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-25,0.84,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-26,0.77,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-29,0.77,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-30,0.66,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-34,0.81,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-35,0.78,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-36,0.58,1
Online,CAFE,Disgust,disgustwithtongue_M-EA-36,0.666666667,1
Live,CAFE,Disgust,disgustwithtongue_M-EA-37,0.61,0
Live,CAFE,Disgust,disgustwithtongue_M-EA-38,0.88,1
Online,CAFE,Disgust,disgustwithtongue_M-EA-38,0.888888889,1
Live,CAFE,Disgust,disgustwithtongue_M-LA-01,0.68,0
Live,CAFE,Disgust,disgustwithtongue_M-LA-03,0.74,0
Live,CAFE,Disgust,disgustwithtongue_M-LA-05,0.73,1
Online,CAFE,Disgust,disgustwithtongue_M-LA-05,0.5,1
Live,CAFE,Disgust,disgustwithtongue_M-LA-08,0.93,1
Online,CAFE,Disgust,disgustwithtongue_M-LA-08,0.818181818,1
Live,CAFE,Disgust,disgustwithtongue_M-LA-09,0.88,1
Online,CAFE,Disgust,disgustwithtongue_M-LA-09,0.6875,1
Online,Emoji,Fearful,fearful_emoji,0.393258427,0
Live,CAFE,Fearful,fearful_F-AA-01,0.72,1
Online,CAFE,Fearful,fearful_F-AA-01,0.555555556,1
Live,CAFE,Fearful,fearful_F-AA-02,0.04,0
Live,CAFE,Fearful,fearful_F-AA-03,0.49,1
Online,CAFE,Fearful,fearful_F-AA-03,0.666666667,1
Live,CAFE,Fearful,fearful_F-AA-04,0.55,0
Live,CAFE,Fearful,fearful_F-AA-06,0.75,1
Online,CAFE,Fearful,fearful_F-AA-06,1,1
Live,CAFE,Fearful,fearful_F-AA-07,0.47,1
Online,CAFE,Fearful,fearful_F-AA-07,0.25,1
Live,CAFE,Fearful,fearful_F-AA-10,0.63,0
Live,CAFE,Fearful,fearful_F-AA-12,0.32,0
Live,CAFE,Fearful,fearful_F-AA-13,0.62,0
Live,CAFE,Fearful,fearful_F-AA-14,0.26,1
Online,CAFE,Fearful,fearful_F-AA-14,0.2,1
Live,CAFE,Fearful,fearful_F-AA-15,0.82,1
Online,CAFE,Fearful,fearful_F-AA-15,0.818181818,1
Live,CAFE,Fearful,fearful_F-AS-02,0.12,0
Live,CAFE,Fearful,fearful_F-AS-03,0.34,0
Live,CAFE,Fearful,fearful_F-AS-05,0.64,1
Online,CAFE,Fearful,fearful_F-AS-05,0.6,1
Live,CAFE,Fearful,fearful_F-AS-07,0.53,0
Live,CAFE,Fearful,fearful_F-AS-09,0.57,0
Live,CAFE,Fearful,fearful_F-EA-01,0.58,0
Live,CAFE,Fearful,fearful_F-EA-02,0.7,1
Online,CAFE,Fearful,fearful_F-EA-02,0.555555556,1
Live,CAFE,Fearful,fearful_F-EA-04,0.56,0
Live,CAFE,Fearful,fearful_F-EA-06,0.22,0
Live,CAFE,Fearful,fearful_F-EA-11,0.67,1
Online,CAFE,Fearful,fearful_F-EA-11,0.285714286,1
Live,CAFE,Fearful,fearful_F-EA-13,0.49,1
Online,CAFE,Fearful,fearful_F-EA-13,0.333333333,1
Live,CAFE,Fearful,fearful_F-EA-14,0.03,0
Live,CAFE,Fearful,fearful_F-EA-16,0.57,0
Live,CAFE,Fearful,fearful_F-EA-21,0.39,0
Live,CAFE,Fearful,fearful_F-EA-23,0.56,0
Live,CAFE,Fearful,fearful_F-EA-24,0.65,1
Online,CAFE,Fearful,fearful_F-EA-24,0.4,1
Live,CAFE,Fearful,fearful_F-EA-25,0.72,1
Online,CAFE,Fearful,fearful_F-EA-25,0.5625,1
Live,CAFE,Fearful,fearful_F-EA-26,0.77,1
Online,CAFE,Fearful,fearful_F-EA-26,0.857142857,1
Live,CAFE,Fearful,fearful_F-EA-27,0.4,0
Live,CAFE,Fearful,fearful_F-EA-28,0.69,1
Online,CAFE,Fearful,fearful_F-EA-28,0.875,1
Live,CAFE,Fearful,fearful_F-EA-30,0.81,1
Online,CAFE,Fearful,fearful_F-EA-30,0.727272727,1
Live,CAFE,Fearful,fearful_F-EA-32,0.45,1
Online,CAFE,Fearful,fearful_F-EA-32,0.333333333,1
Live,CAFE,Fearful,fearful_F-EA-33,0.43,0
Live,CAFE,Fearful,fearful_F-EA-38,0.76,1
Online,CAFE,Fearful,fearful_F-EA-38,0.666666667,1
Live,CAFE,Fearful,fearful_F-EA-40,0.54,0
Live,CAFE,Fearful,fearful_F-EA-42,0.6,0
Live,CAFE,Fearful,fearful_F-LA-01,0.4,0
Live,CAFE,Fearful,fearful_F-LA-05,0.27,1
Online,CAFE,Fearful,fearful_F-LA-05,0.285714286,1
Live,CAFE,Fearful,fearful_F-LA-05-2,0.51,1
Online,CAFE,Fearful,fearful_F-LA-05-2,0.636363636,1
Live,CAFE,Fearful,fearful_F-LA-09,0.22,0
Live,CAFE,Fearful,fearful_F-LA-11,0.06,0
Live,CAFE,Fearful,fearful_F-LA-12,0.23,0
Live,CAFE,Fearful,fearful_F-LA-13,0.21,0
Live,CAFE,Fearful,fearful_F-SA-01,0.44,1
Online,CAFE,Fearful,fearful_F-SA-01,0.3,1
Live,CAFE,Fearful,fearful_F-SA-02,0.72,1
Online,CAFE,Fearful,fearful_F-SA-02,0.5,1
Live,CAFE,Fearful,fearful_F-SA-03,0.55,0
Live,CAFE,Fearful,fearful_F-SA-04,0.44,1
Online,CAFE,Fearful,fearful_F-SA-04,0.428571429,1
Live,CAFE,Fearful,fearful_F-SA-07,0.38,0
Live,CAFE,Fearful,fearful_F-SA-08,0.31,1
Online,CAFE,Fearful,fearful_F-SA-08,0.571428571,1
Live,CAFE,Fearful,fearful_F-SA-09,0.1,0
Live,CAFE,Fearful,fearful_F-SA-10,0.18,0
Live,CAFE,Fearful,fearful_M-AA-01,0.54,0
Live,CAFE,Fearful,fearful_M-AA-05,0.53,0
Live,CAFE,Fearful,fearful_M-AA-07,0.44,1
Online,CAFE,Fearful,fearful_M-AA-07,0.25,1
Live,CAFE,Fearful,fearful_M-AA-11,0.32,1
Online,CAFE,Fearful,fearful_M-AA-11,0.363636364,1
Live,CAFE,Fearful,fearful_M-AS-02,0.51,1
Online,CAFE,Fearful,fearful_M-AS-02,0.272727273,1
Live,CAFE,Fearful,fearful_M-AS-04,0.76,1
Online,CAFE,Fearful,fearful_M-AS-04,0.5,1
Live,CAFE,Fearful,fearful_M-AS-05,0.13,0
Live,CAFE,Fearful,fearful_M-AS-06,0.61,0
Live,CAFE,Fearful,fearful_M-EA-02,0.4,0
Live,CAFE,Fearful,fearful_M-EA-04,0.68,1
Online,CAFE,Fearful,fearful_M-EA-04,0.5,1
Live,CAFE,Fearful,fearful_M-EA-05,0.12,0
Live,CAFE,Fearful,fearful_M-EA-06b,0.52,0
Live,CAFE,Fearful,fearful_M-EA-07,0.3,1
Online,CAFE,Fearful,fearful_M-EA-07,0.166666667,1
Live,CAFE,Fearful,fearful_M-EA-10,0.23,0
Live,CAFE,Fearful,fearful_M-EA-12,0.28,1
Online,CAFE,Fearful,fearful_M-EA-12,0.125,1
Live,CAFE,Fearful,fearful_M-EA-13,0.5,1
Online,CAFE,Fearful,fearful_M-EA-13,0.714285714,1
Live,CAFE,Fearful,fearful_M-EA-20,0.3,1
Online,CAFE,Fearful,fearful_M-EA-20,0.333333333,1
Live,CAFE,Fearful,fearful_M-EA-22,0.3,1
Online,CAFE,Fearful,fearful_M-EA-22,0.166666667,1
Live,CAFE,Fearful,fearful_M-EA-23,0.57,0
Live,CAFE,Fearful,fearful_M-EA-23-2,0.44,0
Live,CAFE,Fearful,fearful_M-EA-28,0.58,0
Live,CAFE,Fearful,fearful_M-EA-37,0.73,1
Online,CAFE,Fearful,fearful_M-EA-37,0.555555556,1
Live,CAFE,Fearful,fearful_M-LA-02,0.19,0
Live,CAFE,Fearful,fearful_M-LA-05,0.48,1
Online,CAFE,Fearful,fearful_M-LA-05,0.333333333,1
Live,CAFE,Fearful,fearful_M-LA-08,0.26,0
Live,CAFE,Fearful,fearful_M-LA-09,0.44,1
Online,CAFE,Fearful,fearful_M-LA-09,0.142857143,1
Live,CAFE,Fearful,fearful_M-LA-10,0.22,0
Online,Google,Fearful,fearful1,0.2,0
Online,Google,Fearful,fearful10,0.333333333,0
Online,Google,Fearful,fearful100,0.5,0
Online,Google,Fearful,fearful11,0.6,0
Online,Google,Fearful,fearful12,0.125,0
Online,Google,Fearful,fearful13,0.090909091,0
Online,Google,Fearful,fearful14,0,0
Online,Google,Fearful,fearful16,0.222222222,0
Online,Google,Fearful,fearful17,0.142857143,0
Online,Google,Fearful,fearful19,0.571428571,0
Online,Google,Fearful,fearful2,0.888888889,0
Online,Google,Fearful,fearful20,0.454545455,0
Online,Google,Fearful,fearful21,0.0625,0
Online,Google,Fearful,fearful22,0,0
Online,Google,Fearful,fearful23,0.5,0
Online,Google,Fearful,fearful24,0.166666667,0
Online,Google,Fearful,fearful27,0.714285714,0
Online,Google,Fearful,fearful28,0.142857143,0
Online,Google,Fearful,fearful29,0.166666667,0
Online,Google,Fearful,fearful3,0.2,0
Online,Google,Fearful,fearful31,0.714285714,0
Online,Google,Fearful,fearful32,0.125,0
Online,Google,Fearful,fearful33,0.111111111,0
Online,Google,Fearful,fearful34,0.333333333,0
Online,Google,Fearful,fearful35,0.25,0
Online,Google,Fearful,fearful36,0.333333333,0
Online,Google,Fearful,fearful37,0.1,0
Online,Google,Fearful,fearful39,0,0
Online,Google,Fearful,fearful4,0,0
